,sentence,jobTitle,company,estimatedDatePosted,label
0,"Himmelseher Sportversicherung (Erwin Himmelseher Assekuranz-Vermittlung GmbH &Co KG), mit Sitz in Köln und Mitglied der internationalen Howden Broking Group, ist das führende Maklerunternehmen für Sportversicherungen.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,company
1,"Im Auftrag unserer Kunden kreieren, verhandeln und platzieren wir auf den Sport zugeschnittene Versicherungslösungen.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,company
2,"Zur Ergänzung unseres Teams suchen wir zum nächstmöglichen Zeitpunkt einen Account Manager/Kundenberater (m/w/d)
",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,other
3,"Ihre Aufgaben
",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
4,"Sie betreuen selbständig und spartenübergreifend unsere Sportkunden, insbesondere aus dem Segment „Amateursport“.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
5,"Sie eruieren den Kundenbedarf und die Kundenwünsche, vertreten die Kundeninteressen gegenüber den Versicherern und setzen entsprechende Kundeninteressen/-vorgaben in selbständigen Verhandlungen mit den Versicherern um.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
6,Sie kontrollieren die ordnungsgemäße Umsetzung der Kundeninteressen/-vorgaben.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
7,Sie arbeiten bei der Optimierung von Versicherungskonzepten mit.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
8,Sie koordinieren den internen Prozess zu den kundenbezogenen Dienstleistungen.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
9,Sie führen Jahresbesprechungen sowie sonstige anlassbezogene Beratungen bei den Kunden durch und erstellen die begleitenden Präsentationen.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
10,"Sie beobachten den Versicherungsmarkt und pflegen die Kontakte zu den Kunden, Versicherern und sonstigen Kooperationspartnern.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,tasks
11,"Ihr Profil
",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
12,Sie haben ein ausgeprägtes Sportinteresse sowie ausgeprägte Kommunikations- und Teamfähigkeiten.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
13,Ihre Aufgaben erledigen Sie selbständig und gewissenhaft.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
14,"Sie verfügen über eine erfolgreich abgeschlossene Ausbildung zum Kaufmann für Versicherungen und Finanzen (m/w/d), ggf.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
15,eine Weiterbildung zum Fach- oder Betriebswirt (m/w/d) oder sind Quereinsteiger mit branchennaher Ausbildung.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
16,"Sie bringen ein hohes Maß an Diskretion, Loyalität, Einsatzbereitschaft und Dienstleistungsmentalität mit.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
17,Sie besitzen sehr gute und umfangreiche Kenntnisse in den gewerblichen Komposit- und/oder Haftpflichtsparten.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
18,"Sie besitzen die Fähigkeit, sich selbst zu organisieren und strukturiert zu arbeiten.",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
19,Sie sind digitalaffin und haben Interesse an der Nutzung neuer Systeme und Prozesse.,Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,skillset
20,"Unser Angebot
",Account Manager Kundenberater m w d Bereich Sportversicherungen,Erwin Himmelseher Assekuranz Vermittlung GmbH and Co KG,2021-05-04,company
